ORDER_ID,CUSTOMER_ID,ORDER_DATE,CATEGORY,           PRICE,    QUANTITY,REVENUE,PAYMENT_METHOD,CUSTOMER_AGE,GENDER,REVIEW_SCORE,IS_RETURNED
O100075,C1140,5/25/2023,Books,331.8,1,331.8,PayPal,18,Female,5,0
O100076,C1105,12/18/2023,Beauty,279.41,2,558.82,Debit Card,46,Female,4,0
O100077,C1129,1/27/2023,Electronics,181.21,1,181.21,Bank Transfer,39,Female,1,0
O100078,C1023,1/2/2023,Home,27.77,1,27.77,PayPal,47,Female,5,0
O100079,C1083,8/15/2023,Books,239.72,2,479.44,Bank Transfer,43,Male,4,0
O100080,C1058,2/8/2023,Beauty,90.73,2,181.46,PayPal,54,Male,4,0
O100081,C1428,7/9/2023,Books,319.37,2,638.74,UPI,48,Male,1,1
O100082,C1221,3/7/2023,Electronics,253.01,4,1012.04,Debit Card,22,Female,4,0
O100083,C1461,1/21/2023,Home,472.23,2,944.46,PayPal,45,Male,4,1
O100084,C1342,2/22/2023,Home,289.86,2,579.72,UPI,52,Female,4,0
O100085,C1499,11/14/2023,Beauty,275.08,1,275.08,PayPal,29,Male,4,1
O100086,C1443,3/25/2023,Clothing,453.15,4,1812.6,Bank Transfer,46,Male,2,0
O100087,C1092,6/20/2023,Sports,14.02,3,42.06,PayPal,52,Female,3,0
O100088,C1082,12/26/2023,Electronics,195.77,2,391.54,Bank Transfer,43,Male,3,0
O100089,C1440,8/29/2023,Clothing,250.54,2,501.08,PayPal,62,Female,5,0
O100090,C1180,6/6/2023,Clothing,211.88,1,211.88,PayPal,53,Male,3,0
O100091,C1338,4/9/2023,Sports,404.38,1,404.38,Debit Card,52,Female,4,0
O100092,C1443,2/5/2023,Home,389.32,4,1557.28,Debit Card,40,Female,5,0
O100093,C1348,10/2/2023,Home,217.35,1,217.35,Credit Card,40,Male,5,0
O100094,C1450,5/14/2023,Clothing,451.76,2,903.52,UPI,37,Female,5,0
O100095,C1020,2/25/2023,Books,448.28,1,448.28,Bank Transfer,53,Female,1,1
O100096,C1374,6/10/2023,Sports,50.19,3,150.57,UPI,45,Male,5,1
O100097,C1198,10/23/2023,Clothing,288.85,3,866.55,Debit Card,33,Male,4,0
O100098,C1363,8/12/2023,Electronics,167.69,3,503.07,UPI,38,Male,5,0
O100099,C1187,8/9/2023,Electronics,395.86,1,395.86,Debit Card,59,Female,5,1
O100100,C1340,3/5/2023,Beauty,32.66,3,97.98,Debit Card,40,Female,4,0
O100101,C1342,7/29/2023,Home,484.48,1,484.48,Bank Transfer,27,Female,5,0
O100102,C1284,3/7/2023,Clothing,420.05,2,840.1,Bank Transfer,30,Female,3,0
O100103,C1347,3/31/2023,Books,446.49,2,892.98,UPI,22,Female,4,0
O100104,C1208,10/8/2023,Electronics,292.75,1,292.75,Debit Card,18,Female,5,0
O100105,C1108,8/9/2023,Books,454.31,1,454.31,UPI,21,Female,4,0
O100106,C1239,8/15/2023,Sports,243.43,4,973.72,PayPal,56,Female,4,1
O100107,C1407,3/28/2023,Beauty,60.04,3,180.12,Credit Card,62,Female,1,0
O100108,C1264,12/6/2023,Beauty,32.87,4,131.48,UPI,25,Female,2,0
O100109,C1048,5/1/2023,Beauty,374.29,1,374.29,Debit Card,45,Male,5,0
O100110,C1413,4/12/2023,Clothing,146.43,4,585.72,Credit Card,50,Male,3,1
O100111,C1126,9/1/2023,Books,11.02,4,44.08,Credit Card,62,Female,1,0
O100112,C1213,11/19/2023,Books,266.21,3,798.63,PayPal,54,Female,3,0
O100113,C1254,7/24/2023,Clothing,42.34,3,127.02,PayPal,58,Male,3,0
O100114,C1458,2/24/2023,Sports,497.94,2,995.88,PayPal,20,Male,5,0
O100115,C1412,12/23/2023,Books,144.08,4,576.32,Bank Transfer,33,Male,5,0
O100116,C1286,5/8/2023,Electronics,311.97,4,1247.88,Bank Transfer,45,Male,4,0
O100117,C1411,8/26/2023,Beauty,118.55,4,474.2,UPI,45,Female,4,0
O100118,C1487,8/15/2023,Books,229.35,3,688.05,UPI,34,Female,3,0
O100119,C1426,10/8/2023,Sports,303.38,4,1213.52,PayPal,46,Female,2,0
O100120,C1231,5/13/2023,Clothing,470.56,3,1411.68,Debit Card,22,Female,4,0
O100121,C1321,5/3/2023,Home,466.7,2,933.4,Bank Transfer,62,Male,3,0
O100122,C1366,5/27/2023,Clothing,389.91,2,779.82,Debit Card,49,Female,5,0
O100123,C1164,10/4/2023,Electronics,376.04,1,376.04,PayPal,39,Male,5,0
O100124,C1119,7/16/2023,Beauty,36.44,1,36.44,PayPal,52,Male,2,0
O100125,C1033,8/1/2023,Sports,42.3,4,169.2,Debit Card,34,Female,4,0
O100126,C1213,2/1/2023,Clothing,457.02,3,1371.06,Bank Transfer,54,Female,5,0
O100127,C1464,10/27/2023,Beauty,192.04,1,192.04,Credit Card,31,Female,3,0
O100128,C1245,1/4/2023,Home,140.99,4,563.96,Debit Card,18,Female,4,0
O100129,C1437,8/3/2023,Books,182.29,4,729.16,UPI,56,Male,4,0
O100130,C1250,4/23/2023,Home,387.3,3,1161.9,Bank Transfer,29,Female,5,1
O100131,C1015,7/19/2023,Home,48.76,3,146.28,Bank Transfer,34,Male,2,0
O100132,C1431,8/28/2023,Clothing,378.79,1,378.79,UPI,31,Male,5,0
O100133,C1465,7/21/2023,Books,72.5,4,290,UPI,51,Male,4,0
O100134,C1043,11/26/2023,Sports,199.16,3,597.48,PayPal,51,Female,3,0
O100135,C1094,1/26/2023,Home,392.91,4,1571.64,Bank Transfer,47,Female,4,0
O100136,C1109,8/21/2023,Home,475.01,4,1900.04,Debit Card,27,Female,5,0
O100137,C1143,8/4/2023,Home,132.83,4,531.32,Credit Card,22,Female,5,0
O100138,C1010,10/4/2023,Electronics,167.73,3,503.19,Debit Card,60,Male,3,0
O100139,C1333,2/5/2023,Beauty,68.8,3,206.4,Credit Card,33,Male,3,0
O100140,C1487,5/7/2023,Clothing,322.23,4,1288.92,Credit Card,21,Male,3,0
O100141,C1123,3/6/2023,Sports,239.61,1,239.61,Credit Card,49,Male,3,0
O100142,C1239,12/25/2023,Home,25.23,1,25.23,Debit Card,35,Male,3,0
O100143,C1311,11/7/2023,Beauty,48.91,1,48.91,Credit Card,22,Male,4,0
O100144,C1494,6/9/2023,Electronics,185.31,2,370.62,UPI,43,Male,4,0
O100145,C1476,6/9/2023,Books,400.71,1,400.71,Bank Transfer,39,Female,2,0
O100146,C1483,4/12/2023,Electronics,460.83,1,460.83,UPI,34,Male,3,0
O100147,C1053,12/23/2023,Home,375.39,1,375.39,UPI,32,Male,4,1
O100148,C1408,10/17/2023,Electronics,121.88,4,487.52,Debit Card,40,Female,4,0
O100149,C1339,7/9/2023,Electronics,35.86,3,107.58,UPI,24,Female,4,0
O100150,C1007,8/4/2023,Sports,376.06,4,1504.24,Credit Card,62,Female,5,0
O100151,C1492,7/5/2023,Beauty,201.6,4,806.4,Bank Transfer,42,Male,5,0
O100152,C1223,4/1/2023,Beauty,284.16,1,284.16,UPI,56,Female,2,0
O100153,C1316,10/3/2023,Sports,120.44,1,120.44,Bank Transfer,37,Female,4,0
O100154,C1423,10/31/2023,Home,326.17,2,652.34,Debit Card,64,Male,4,0
O100155,C1426,2/14/2023,Home,281.08,4,1124.32,Bank Transfer,61,Male,2,0
O100156,C1385,8/26/2023,Books,184.73,2,369.46,UPI,51,Female,3,0
O100157,C1173,1/15/2023,Sports,168.52,1,168.52,Debit Card,50,Male,1,0
O100158,C1250,4/19/2023,Home,185.85,4,743.4,Debit Card,21,Female,5,0
O100159,C1144,11/2/2023,Beauty,403.9,4,1615.6,Debit Card,26,Male,2,0
O100160,C1265,4/8/2023,Electronics,208.15,4,832.6,PayPal,41,Female,2,0
O100161,C1251,10/12/2023,Clothing,484.89,4,1939.56,Bank Transfer,32,Female,5,0
O100162,C1230,1/9/2023,Electronics,89.59,3,268.77,Debit Card,19,Male,4,0
O100163,C1208,12/21/2023,Clothing,143.59,4,574.36,Debit Card,22,Female,3,0
O100164,C1243,10/11/2023,Books,215.59,1,215.59,Debit Card,37,Female,3,0
O100165,C1382,10/9/2023,Home,307.26,4,1229.04,Debit Card,55,Female,4,0
O100166,C1139,6/6/2023,Home,243.16,3,729.48,PayPal,20,Male,2,0
O100167,C1370,4/9/2023,Home,71.54,3,214.62,Credit Card,27,Male,5,0
O100168,C1099,4/21/2023,Beauty,405.89,1,405.89,Bank Transfer,54,Female,1,0
O100169,C1371,10/29/2023,Books,239.22,2,478.44,UPI,52,Female,3,1
O100170,C1052,4/10/2023,Home,416.16,4,1664.64,PayPal,31,Female,5,1
O100171,C1092,6/4/2023,Electronics,106.48,3,319.44,UPI,52,Male,5,0
O100172,C1141,1/24/2023,Electronics,28.81,1,28.81,UPI,25,Female,5,0
O100173,C1358,3/6/2023,Beauty,400.77,3,1202.31,Bank Transfer,38,Male,3,0
O100174,C1447,1/7/2023,Books,318.71,2,637.42,Debit Card,21,Female,3,0
O100175,C1246,8/14/2023,Home,343.08,4,1372.32,PayPal,56,Male,5,0
O100176,C1130,9/2/2023,Electronics,313.93,1,313.93,Credit Card,40,Female,4,0
O100177,C1252,2/7/2023,Books,180.9,3,542.7,Credit Card,19,Male,4,1
O100178,C1077,10/16/2023,Home,314,3,942,Credit Card,23,Male,5,0
O100179,C1061,10/13/2023,Sports,170.78,4,683.12,UPI,32,Male,5,0
O100180,C1398,9/25/2023,Sports,372.02,3,1116.06,Bank Transfer,53,Female,5,0
O100181,C1153,10/29/2023,Sports,354.96,3,1064.88,Debit Card,50,Male,1,0
O100182,C1313,2/20/2023,Clothing,382.42,3,1147.26,PayPal,27,Female,3,0
O100183,C1339,2/11/2023,Clothing,59.76,4,239.04,PayPal,62,Male,2,0
O100184,C1283,2/8/2023,Clothing,399.66,1,399.66,Credit Card,46,Female,3,0
O100185,C1231,12/19/2023,Books,361.42,3,1084.26,Bank Transfer,53,Female,4,0
O100186,C1017,4/29/2023,Home,176.12,3,528.36,Debit Card,27,Female,3,0
O100187,C1037,12/18/2023,Clothing,214.68,2,429.36,Debit Card,63,Male,4,1
O100188,C1218,2/28/2023,Books,73.86,2,147.72,PayPal,42,Male,3,0
O100189,C1466,5/17/2023,Clothing,298.52,4,1194.08,Credit Card,53,Male,5,0
O100190,C1085,6/7/2023,Books,16.4,3,49.2,UPI,59,Female,5,0
O100191,C1225,3/5/2023,Sports,39.12,3,117.36,Debit Card,46,Female,2,0
O100192,C1483,5/20/2023,Books,455.79,1,455.79,UPI,63,Female,3,0
O100193,C1225,2/11/2023,Books,97.23,3,291.69,Credit Card,18,Female,5,0
O100194,C1377,6/15/2023,Books,297.68,1,297.68,Debit Card,64,Male,2,0
O100195,C1047,4/28/2023,Beauty,402.41,1,402.41,UPI,43,Male,3,0
O100196,C1392,12/11/2023,Home,271.01,3,813.03,UPI,55,Male,3,0
O100197,C1391,3/31/2023,Sports,370.06,1,370.06,UPI,60,Female,1,1
O100198,C1470,5/23/2023,Clothing,127.87,1,127.87,UPI,24,Female,3,0
O100199,C1326,9/9/2023,Electronics,159.18,1,159.18,Bank Transfer,60,Female,4,0
O100200,C1210,6/20/2023,Home,333.45,3,1000.35,Credit Card,34,Male,5,0
O100201,C1169,7/30/2023,Beauty,210.24,4,840.96,Bank Transfer,57,Female,4,0
O100202,C1340,7/25/2023,Books,38.2,3,114.6,Credit Card,36,Female,3,0
O100203,C1046,6/11/2023,Home,314.36,1,314.36,Debit Card,47,Male,5,0
O100204,C1497,7/26/2023,Books,150.55,3,451.65,Credit Card,64,Female,4,0
O100205,C1212,1/28/2023,Clothing,243.14,2,486.28,UPI,55,Female,5,0
O100206,C1319,9/13/2023,Beauty,170.51,3,511.53,Bank Transfer,56,Male,5,0
O100207,C1105,5/17/2023,Books,449.23,2,898.46,PayPal,50,Female,1,0
O100208,C1225,12/24/2023,Sports,359.41,1,359.41,Credit Card,25,Male,1,0
O100209,C1499,11/19/2023,Books,119.38,3,358.14,PayPal,25,Male,2,0
O100210,C1160,10/10/2023,Electronics,93.38,1,93.38,UPI,45,Female,3,0
O100211,C1048,4/26/2023,Electronics,125.37,2,250.74,Bank Transfer,49,Male,5,0
O100212,C1332,3/20/2023,Sports,201.61,1,201.61,Debit Card,38,Female,4,0
O100213,C1213,9/5/2023,Sports,48.03,2,96.06,PayPal,24,Female,5,0
O100214,C1283,3/16/2023,Sports,65.77,3,197.31,PayPal,53,Male,4,0
O100215,C1443,2/5/2023,Home,455.76,1,455.76,Bank Transfer,37,Female,3,0
O100216,C1479,9/17/2023,Home,184.71,3,554.13,Credit Card,29,Female,5,0
O100217,C1372,6/2/2023,Books,388.05,1,388.05,UPI,51,Female,5,0
O100218,C1444,3/18/2023,Sports,487.4,4,1949.6,UPI,41,Female,2,0
O100219,C1177,6/20/2023,Books,492.76,3,1478.28,UPI,49,Female,4,0
O100220,C1234,6/14/2023,Clothing,138,4,552,PayPal,19,Female,4,0
O100221,C1120,7/30/2023,Electronics,73.98,3,221.94,Debit Card,63,Female,5,0
O100222,C1362,7/15/2023,Sports,89.98,3,269.94,PayPal,54,Female,1,1
O100223,C1494,1/19/2023,Clothing,63.29,4,253.16,UPI,58,Female,3,0
O100224,C1446,2/21/2023,Sports,327.45,2,654.9,Credit Card,29,Female,3,0
O100225,C1008,3/15/2023,Sports,72.76,1,72.76,PayPal,48,Male,5,0
O100226,C1241,5/16/2023,Home,302.26,1,302.26,UPI,24,Female,4,0
O100227,C1333,2/11/2023,Home,205.17,2,410.34,UPI,63,Female,1,0
O100228,C1489,6/12/2023,Beauty,370.33,3,1110.99,Bank Transfer,53,Male,5,0
O100229,C1317,2/5/2023,Clothing,419.35,3,1258.05,Debit Card,53,Male,5,0
O100230,C1383,2/16/2023,Sports,285.37,2,570.74,Credit Card,64,Male,5,0
O100231,C1228,3/27/2023,Beauty,244.46,2,488.92,Debit Card,53,Male,4,0
O100232,C1024,6/16/2023,Electronics,421.56,1,421.56,Debit Card,62,Female,3,0
O100233,C1192,8/9/2023,Clothing,239.75,1,239.75,PayPal,26,Female,4,0
O100234,C1290,12/16/2023,Clothing,353.94,4,1415.76,PayPal,59,Male,4,0
O100235,C1041,11/9/2023,Sports,43.49,4,173.96,UPI,61,Male,5,0
O100236,C1255,10/26/2023,Clothing,56.03,1,56.03,PayPal,61,Female,5,1
O100237,C1327,5/11/2023,Sports,396.06,1,396.06,Debit Card,64,Male,2,1
O100238,C1461,8/27/2023,Home,380.4,3,1141.2,UPI,38,Male,5,0
O100239,C1038,8/15/2023,Home,320.43,4,1281.72,UPI,42,Female,5,0
O100240,C1328,8/6/2023,Beauty,348.12,1,348.12,Debit Card,62,Female,4,0
O100241,C1433,6/4/2023,Clothing,296.19,1,296.19,Bank Transfer,40,Female,4,0
O100242,C1055,5/2/2023,Sports,159.86,3,479.58,UPI,24,Female,3,1
O100243,C1295,6/1/2023,Beauty,485.67,3,1457.01,Debit Card,46,Male,4,0
O100244,C1425,12/4/2023,Sports,423.05,2,846.1,Debit Card,59,Male,4,0
O100245,C1290,12/18/2023,Beauty,185.53,4,742.12,Credit Card,62,Female,2,0
O100246,C1427,5/27/2023,Clothing,173.24,3,519.72,UPI,40,Female,2,0
O100247,C1113,11/22/2023,Clothing,272.05,1,272.05,UPI,39,Female,3,0
O100248,C1348,12/4/2023,Beauty,443.56,2,887.12,PayPal,61,Male,3,0
O100249,C1463,11/18/2023,Beauty,435.7,2,871.4,Credit Card,30,Female,4,1
O100250,C1404,8/14/2023,Electronics,400.4,3,1201.2,UPI,63,Female,4,0
O100251,C1375,3/9/2023,Electronics,203.96,1,203.96,Debit Card,61,Female,4,0
O100252,C1383,8/1/2023,Clothing,492.12,2,984.24,PayPal,47,Male,4,0
O100253,C1403,10/4/2023,Home,370.1,2,740.2,UPI,20,Female,4,0
O100254,C1426,3/26/2023,Home,427.15,2,854.3,Bank Transfer,54,Female,1,0
O100255,C1383,6/23/2023,Electronics,493.92,1,493.92,Bank Transfer,32,Male,4,0
O100256,C1073,4/26/2023,Beauty,113.04,2,226.08,Bank Transfer,54,Female,5,0
O100257,C1047,7/22/2023,Electronics,211.7,4,846.8,Debit Card,63,Male,4,1
O100258,C1233,7/8/2023,Beauty,494.65,3,1483.95,Debit Card,21,Female,3,1
O100259,C1422,11/23/2023,Home,326.58,1,326.58,Credit Card,62,Male,2,0
O100260,C1242,1/13/2023,Books,195.12,1,195.12,UPI,20,Female,5,0
O100261,C1469,11/9/2023,Clothing,316.74,3,950.22,Credit Card,26,Female,5,1
O100262,C1466,12/25/2023,Home,91.08,2,182.16,Bank Transfer,52,Male,5,0
O100263,C1072,1/24/2023,Electronics,81.18,4,324.72,Debit Card,52,Female,3,0
O100264,C1060,2/19/2023,Clothing,270.8,1,270.8,UPI,21,Male,4,0
O100265,C1199,8/21/2023,Home,439.34,3,1318.02,UPI,45,Female,4,0
O100266,C1301,3/21/2023,Sports,426.84,2,853.68,Credit Card,26,Female,3,1
O100267,C1316,7/28/2023,Home,368.93,2,737.86,Credit Card,41,Female,3,0
O100268,C1112,8/16/2023,Sports,349.38,4,1397.52,PayPal,43,Female,4,1
O100269,C1051,12/18/2023,Home,59.19,4,236.76,UPI,22,Female,5,0
O100270,C1032,7/23/2023,Home,442.04,2,884.08,PayPal,46,Male,5,0
O100271,C1486,8/21/2023,Electronics,332.75,4,1331,PayPal,44,Male,5,0
O100272,C1026,6/20/2023,Clothing,263.02,4,1052.08,PayPal,57,Male,3,0
O100273,C1036,10/11/2023,Clothing,84.4,1,84.4,UPI,60,Male,3,1
O100274,C1417,4/30/2023,Home,57.39,3,172.17,PayPal,55,Male,3,0
O100275,C1142,3/16/2023,Clothing,480.85,1,480.85,UPI,48,Female,5,0
O100276,C1409,3/31/2023,Electronics,170.88,2,341.76,Credit Card,56,Male,3,0
O100277,C1008,7/3/2023,Clothing,416.91,1,416.91,UPI,29,Female,1,0
O100278,C1009,3/31/2023,Home,310.38,1,310.38,Credit Card,58,Male,4,0
O100279,C1380,8/4/2023,Books,318.83,4,1275.32,Credit Card,62,Male,5,0
O100280,C1244,8/18/2023,Home,381.71,2,763.42,UPI,58,Male,5,0
O100281,C1232,9/15/2023,Clothing,318.15,2,636.3,UPI,54,Male,2,1
O100282,C1373,12/4/2023,Books,345.5,2,691,Debit Card,21,Female,3,0
O100283,C1330,1/16/2023,Electronics,38.34,2,76.68,Bank Transfer,18,Female,2,0
O100284,C1219,12/18/2023,Electronics,426.95,2,853.9,Bank Transfer,64,Female,5,0
O100285,C1038,2/11/2023,Home,69.39,1,69.39,UPI,29,Male,1,0
O100286,C1034,3/6/2023,Home,165.19,3,495.57,UPI,49,Female,5,0
O100287,C1196,11/2/2023,Books,225.72,2,451.44,Debit Card,51,Female,5,0
O100288,C1259,11/6/2023,Sports,228.44,3,685.32,Credit Card,32,Male,5,0
O100289,C1437,12/2/2023,Beauty,114.28,2,228.56,UPI,64,Male,4,0
O100290,C1221,8/20/2023,Clothing,140.26,1,140.26,Bank Transfer,61,Female,1,0
O100291,C1424,8/21/2023,Sports,455.21,1,455.21,Bank Transfer,37,Male,4,0
O100292,C1161,8/7/2023,Home,492.07,1,492.07,Debit Card,55,Female,3,0
O100293,C1489,3/20/2023,Beauty,20.41,1,20.41,Bank Transfer,41,Male,4,0
O100294,C1047,2/13/2023,Electronics,239.24,4,956.96,Bank Transfer,63,Male,3,0
O100295,C1382,7/10/2023,Clothing,81.06,3,243.18,UPI,63,Male,4,0
O100296,C1301,10/15/2023,Books,399.41,4,1597.64,Debit Card,41,Male,5,0
O100297,C1211,7/1/2023,Beauty,399.29,1,399.29,Bank Transfer,47,Male,2,0
O100298,C1496,5/28/2023,Books,344.35,4,1377.4,Debit Card,26,Female,3,0
O100299,C1054,10/23/2023,Books,36.78,2,73.56,PayPal,19,Male,5,0
O100300,C1337,9/4/2023,Clothing,230.33,4,921.32,Credit Card,38,Female,2,0
O100301,C1433,10/12/2023,Home,242.57,3,727.71,Credit Card,55,Female,3,0
O100302,C1294,4/26/2023,Sports,430.76,2,861.52,UPI,58,Male,1,0
O100303,C1312,12/3/2023,Beauty,56.94,1,56.94,Debit Card,29,Male,5,0
O100304,C1093,5/20/2023,Beauty,251.95,2,503.9,Debit Card,45,Female,5,0
O100305,C1180,1/4/2023,Clothing,9.84,4,39.36,PayPal,50,Female,4,0
O100306,C1036,3/14/2023,Beauty,178.56,1,178.56,Credit Card,30,Male,2,0
O100307,C1383,9/29/2023,Clothing,70.69,3,212.07,Bank Transfer,43,Female,4,0
O100308,C1233,6/24/2023,Clothing,104.07,3,312.21,Debit Card,61,Female,2,0
O100309,C1370,6/16/2023,Books,354.71,2,709.42,UPI,26,Male,5,0
O100310,C1453,1/27/2023,Clothing,272.94,2,545.88,PayPal,29,Male,5,0
O100311,C1346,2/11/2023,Home,401.86,2,803.72,Bank Transfer,64,Female,5,0
O100312,C1249,11/7/2023,Sports,447.93,4,1791.72,Bank Transfer,23,Female,5,0
O100313,C1111,9/20/2023,Electronics,323.57,1,323.57,Debit Card,59,Female,4,0
